# filename mjd_start mjd_end
FRB20201124A_tracking-M01_0034.fits 59311.32952084353185185185 59311.32959540893629629629
FRB20201124A_tracking-M01_0035.fits 59311.32959540893629629629 59311.32966997434074074074
FRB20201124A_tracking-M01_0036.fits 59311.32966997434074074074 59311.32974453974518518518
FRB20201124A_tracking-M01_0037.fits 59311.32974453974518518518 59311.32981910514962962962
FRB20201124A_tracking-M01_0038.fits 59311.32981910514962962962 59311.32989367055407407407
FRB20201124A_tracking-M01_0039.fits 59311.32989367055407407407 59311.32996823595851851851
FRB20201124A_tracking-M01_0040.fits 59311.32996823595851851851 59311.33004280136296296296
FRB20201124A_tracking-M01_0041.fits 59311.33004280136296296296 59311.33011736676740740740
FRB20201124A_tracking-M01_0042.fits 59311.33011736676740740740 59311.33019193217185185185
FRB20201124A_tracking-M01_0043.fits 59311.33019193217185185185 59311.33026649757629629629
FRB20201124A_tracking-M01_0044.fits 59311.33026649757629629629 59311.33034106298074074074
FRB20201124A_tracking-M01_0045.fits 59311.33034106298074074074 59311.33041562838518518518
FRB20201124A_tracking-M01_0046.fits 59311.33041562838518518518 59311.33049019378962962962
FRB20201124A_tracking-M01_0047.fits 59311.33049019378962962962 59311.33056475919407407407
FRB20201124A_tracking-M01_0048.fits 59311.33056475919407407407 59311.33063932459851851851
FRB20201124A_tracking-M01_0049.fits 59311.33063932459851851851 59311.33071389000296296296
FRB20201124A_tracking-M01_0050.fits 59311.33071389000296296296 59311.33078845540740740740
FRB20201124A_tracking-M01_0051.fits 59311.33078845540740740740 59311.33086302081185185185
FRB20201124A_tracking-M01_0052.fits 59311.33086302081185185185 59311.33093758621629629629
FRB20201124A_tracking-M01_0053.fits 59311.33093758621629629629 59311.33101215162074074074
FRB20201124A_tracking-M01_0054.fits 59311.33101215162074074074 59311.33108671702518518518
FRB20201124A_tracking-M01_0055.fits 59311.33108671702518518518 59311.33116128242962962962
FRB20201124A_tracking-M01_0056.fits 59311.33116128242962962962 59311.33123584783407407407
FRB20201124A_tracking-M01_0057.fits 59311.33123584783407407407 59311.33131041323851851851
FRB20201124A_tracking-M01_0058.fits 59311.33131041323851851851 59311.33138497864296296296
FRB20201124A_tracking-M01_0059.fits 59311.33138497864296296296 59311.33145954404740740740
FRB20201124A_tracking-M01_0060.fits 59311.33145954404740740740 59311.33153410945185185185
FRB20201124A_tracking-M01_0061.fits 59311.33153410945185185185 59311.33160867485629629629
FRB20201124A_tracking-M01_0062.fits 59311.33160867485629629629 59311.33168324026074074074
FRB20201124A_tracking-M01_0063.fits 59311.33168324026074074074 59311.33175780566518518518
FRB20201124A_tracking-M01_0064.fits 59311.33175780566518518518 59311.33183237106962962962
FRB20201124A_tracking-M01_0065.fits 59311.33183237106962962962 59311.33190693647407407407
FRB20201124A_tracking-M01_0066.fits 59311.33190693647407407407 59311.33198150187851851851
FRB20201124A_tracking-M01_0067.fits 59311.33198150187851851851 59311.33205606728296296296
FRB20201124A_tracking-M01_0068.fits 59311.33205606728296296296 59311.33213063268740740740
FRB20201124A_tracking-M01_0069.fits 59311.33213063268740740740 59311.33220519809185185185
FRB20201124A_tracking-M01_0070.fits 59311.33220519809185185185 59311.33227976349629629629
FRB20201124A_tracking-M01_0071.fits 59311.33227976349629629629 59311.33235432890074074074
FRB20201124A_tracking-M01_0072.fits 59311.33235432890074074074 59311.33242889430518518518
FRB20201124A_tracking-M01_0073.fits 59311.33242889430518518518 59311.33250345970962962962
FRB20201124A_tracking-M01_0074.fits 59311.33250345970962962962 59311.33257802511407407407
FRB20201124A_tracking-M01_0075.fits 59311.33257802511407407407 59311.33265259051851851851
FRB20201124A_tracking-M01_0076.fits 59311.33265259051851851851 59311.33272715592296296296
FRB20201124A_tracking-M01_0077.fits 59311.33272715592296296296 59311.33280172132740740740
FRB20201124A_tracking-M01_0078.fits 59311.33280172132740740740 59311.33287628673185185185
